bvid,bullet_content,bullet_entry,bullet_time,bullet_crawler_time
BV1E14y1v724,吮坏 大东北话,67.57900,2022-09-15 22:22:02,2022-09-16 20:41:45
BV1E14y1v724,铝合金你回来,19.97500,2022-09-15 22:20:01,2022-09-16 20:41:45
BV1E14y1v724,什么牌子,15.79000,2022-09-15 22:12:57,2022-09-16 20:41:45
BV1E14y1v724,这要是我安的，我能吹一辈子,32.98100,2022-09-15 22:12:02,2022-09-16 20:41:45
BV1E14y1v724,为什么不用虚拟投影？国企,31.27900,2022-09-15 21:59:14,2022-09-16 20:41:45
BV1E14y1v724,什么牌子的空调？,10.45000,2022-09-15 21:58:15,2022-09-16 20:41:45
BV1E14y1v724,鼓风机是上面吹旗子的电机在地下又没风,65.73900,2022-09-15 21:54:48,2022-09-16 20:41:45
BV1E14y1v724,这不用直线电机,35.29800,2022-09-15 21:51:45,2022-09-16 20:41:45
BV1E14y1v724,这个空调的广告啊  觉得很成功,43.09200,2022-09-15 21:51:21,2022-09-16 20:41:45
BV1E14y1v724,我知道但我不想告诉阿婆主,6.69900,2022-09-15 21:50:23,2022-09-16 20:41:45
BV1E14y1v724,原来如此,74.21200,2022-09-15 21:45:19,2022-09-16 20:41:45
BV1E14y1v724,盲猜给旗杆降温,38.39400,2022-09-15 21:42:50,2022-09-16 20:41:45
BV1E14y1v724,什么牌子的,28.08200,2022-09-15 21:38:35,2022-09-16 20:41:45
BV1E14y1v724,吹风的吧,21.51900,2022-09-15 21:27:46,2022-09-16 20:41:45
BV1E14y1v724,啥牌子的？,12.85900,2022-09-15 21:21:28,2022-09-16 20:41:45
BV1E14y1v724,这个时候就有人问了，谁拿遥控呢,60.82400,2022-09-15 21:18:10,2022-09-16 20:41:45
BV1E14y1v724,吹国旗用的呗,23.15200,2022-09-15 21:12:11,2022-09-16 20:41:45
BV1E14y1v724,该不会是广告吧,13.81900,2022-09-15 21:01:16,2022-09-16 20:41:45
BV1E14y1v724,旗杆上面吹风的吧,5.97900,2022-09-15 20:40:57,2022-09-16 20:41:45
BV1E14y1v724,精密空调,81.00000,2022-09-15 20:24:22,2022-09-16 20:41:45
BV1E14y1v724,五星红旗迎风飘扬，胜利歌声多么响亮,79.14400,2022-09-15 20:14:12,2022-09-16 20:41:45
BV1E14y1v724,国旗我升上去了但是我没有飘哈哈哈哈哈,7.11900,2022-09-15 20:12:37,2022-09-16 20:41:45
BV1E14y1v724,这不用伺服电机,31.37000,2022-09-15 19:35:32,2022-09-16 20:41:45
BV1E14y1v724,什么  节奏？,37.63900,2022-09-15 19:26:49,2022-09-16 20:41:45
BV1E14y1v724,盲猜吹小旗,8.21900,2022-09-15 19:23:35,2022-09-16 20:41:45
BV1E14y1v724,好像是让国旗飘摇 展现我国风貌！,14.05500,2022-09-15 19:20:39,2022-09-16 20:41:45
BV1E14y1v724,吹红旗的吧,12.22200,2022-09-15 19:12:12,2022-09-16 20:41:45
